distractor_mix,method,n,success,steps,wrong_tool_count,premature_action_count,avg_tools_per_step,gold_exposure_rate,no_visible_rate,risky_visible_count,unauthorized_risky_visible_count,input_tokens,output_tokens,total_tokens
cross_domain,all_tools,630,0.32222222222222224,4.9714285714285715,2.676190476190476,0.025396825396825397,121.11111111111111,0.9825396825396825,0.01746031746031746,34.8,30.58888888888889,47752.57777777778,322.1047619047619,48074.68253968254
cross_domain,cmtf,630,0.8857142857142857,3.684126984126984,0.4587301587301587,0.0,0.9984126984126984,0.9984126984126984,0.0015873015873015873,0.6936507936507936,0.0,860.8031746031746,257.7047619047619,1118.5079365079366
cross_domain,full_causal_path,630,0.2650793650793651,5.249206349206349,3.2285714285714286,0.0,3.6240476190476194,0.9952380952380953,0.004761904761904762,0.6968253968253968,0.0,2291.2301587301586,303.731746031746,2594.961904761905
cross_domain,keyword_top_10,630,0.35873015873015873,4.925396825396826,2.619047619047619,0.004761904761904762,9.873015873015873,0.8338095238095238,0.012698412698412698,11.577777777777778,9.496825396825397,4859.804761904762,293.93809523809523,5153.742857142857
cross_domain,keyword_top_5,630,0.2873015873015873,5.177777777777778,2.642857142857143,0.8412698412698413,4.992063492063492,0.672989417989418,0.0015873015873015873,7.144444444444445,6.106349206349206,2942.4777777777776,335.9142857142857,3278.3920634920637
cross_domain,state_aware,630,0.26666666666666666,5.2555555555555555,3.2253968253968255,0.0,3.627910052910053,0.9936507936507937,0.006349206349206349,0.6952380952380952,0.0,2298.536507936508,301.44126984126984,2599.9777777777776
mixed,all_tools,630,0.326984126984127,5.057142857142857,2.750793650793651,0.0380952380952381,124.44444444444444,0.9968253968253968,0.0031746031746031746,206.25079365079364,181.82063492063492,55565.85555555556,348.6952380952381,55914.55079365079
mixed,cmtf,630,0.8888888888888888,3.642857142857143,0.4238095238095238,0.0,0.9952380952380953,0.9952380952380953,0.004761904761904762,0.6825396825396826,0.0,851.7476190476191,243.13968253968255,1094.8873015873016
mixed,full_causal_path,630,0.25873015873015875,5.3,3.3301587301587303,0.0,25.990185185185183,0.9968253968253968,0.0031746031746031746,40.43809523809524,29.646031746031746,13250.819047619048,305.94761904761907,13556.766666666666
mixed,keyword_top_10,630,0.21904761904761905,4.847619047619047,2.5428571428571427,0.6603174603174603,9.555555555555555,0.5055291005291006,0.044444444444444446,13.49047619047619,12.255555555555556,4975.253968253968,324.4873015873016,5299.74126984127
mixed,keyword_top_5,630,0.22380952380952382,4.911111111111111,2.4634920634920636,0.9619047619047619,4.809523809523809,0.43214285714285716,0.0380952380952381,7.363492063492063,6.592063492063492,2846.746031746032,348.42063492063494,3195.1666666666665
mixed,state_aware,630,0.2714285714285714,5.303174603174603,3.326984126984127,0.0,26.045793650793648,0.9984126984126984,0.0015873015873015873,40.63809523809524,30.006349206349206,13257.414285714285,310.03015873015875,13567.444444444445
near_duplicate,all_tools,630,0.2920634920634921,5.195238095238095,3.107936507936508,0.03650793650793651,125.0,1.0,0.0,36.36666666666667,33.388888888888886,59624.92222222222,323.14126984126983,59948.06349206349
near_duplicate,cmtf,630,0.9063492063492063,3.665079365079365,0.4158730158730159,0.0,1.0,1.0,0.0,0.6825396825396826,0.0,856.9857142857143,253.90952380952382,1110.895238095238
near_duplicate,full_causal_path,630,0.2492063492063492,5.36031746031746,3.4095238095238094,0.0,45.220608465608464,1.0,0.0,0.6523809523809524,0.0,23606.01746031746,309.74444444444447,23915.761904761905
near_duplicate,keyword_top_10,630,0.23809523809523808,5.222222222222222,2.585714285714286,1.0793650793650793,10.0,0.44240740740740736,0.0,6.112698412698412,5.36031746031746,5417.603174603175,426.4952380952381,5844.098412698413
near_duplicate,keyword_top_5,630,0.19682539682539682,5.277777777777778,2.765079365079365,1.1063492063492064,5.0,0.34793650793650793,0.0,4.8841269841269845,4.17936507936508,3088.526984126984,474.0015873015873,3562.5285714285715
near_duplicate,state_aware,630,0.24444444444444444,5.387301587301588,3.4444444444444446,0.0,45.20952380952381,1.0,0.0,0.6301587301587301,0.0,23788.066666666666,313.96984126984125,24102.036507936507
premature,all_tools,630,0.33650793650793653,5.0476190476190474,2.8174603174603177,0.014285714285714285,125.0,1.0,0.0,560.2857142857143,491.0698412698413,55549.75555555556,330.48571428571427,55880.241269841266
premature,cmtf,630,0.8444444444444444,3.331746031746032,0.39206349206349206,0.0,0.9333333333333333,0.9333333333333333,0.06666666666666667,0.6174603174603175,0.0,774.5,227.85555555555555,1002.3555555555556
premature,full_causal_path,630,0.2523809523809524,5.317460317460317,3.3492063492063493,0.0,15.56010582010582,1.0,0.0,60.857142857142854,0.0,7695.890476190476,318.95714285714286,8014.847619047619
premature,keyword_top_10,630,0.353968253968254,4.958730158730159,2.2142857142857144,0.8984126984126984,10.0,0.6458465608465608,0.0,31.476190476190474,28.012698412698413,5035.793650793651,340.6142857142857,5376.407936507937
premature,keyword_top_5,630,0.2761904761904762,5.2,2.7333333333333334,0.780952380952381,5.0,0.6735449735449736,0.0,9.498412698412698,8.465079365079365,2950.215873015873,383.14444444444445,3333.3603174603177
premature,state_aware,630,0.25873015873015875,5.311111111111111,3.323809523809524,0.0,15.77701058201058,1.0,0.0,62.333333333333336,0.0,7809.892063492063,327.33968253968254,8137.231746031746
risky,all_tools,630,0.26825396825396824,5.241269841269841,3.104761904761905,0.01746031746031746,124.2063492063492,0.9968253968253968,0.0031746031746031746,593.1301587301588,537.6460317460318,56853.450793650794,354.82698412698414,57208.27777777778
risky,cmtf,630,0.8841269841269841,3.6666666666666665,0.4492063492063492,0.0,0.9968253968253968,0.9968253968253968,0.0031746031746031746,0.6968253968253968,0.0,857.8396825396825,260.231746031746,1118.0714285714287
risky,full_causal_path,630,0.25396825396825395,5.304761904761905,3.3253968253968256,0.0,34.91994708994709,0.9904761904761905,0.009523809523809525,177.67936507936508,167.0031746031746,17076.69365079365,309.53492063492064,17386.22857142857
risky,keyword_top_10,630,0.3126984126984127,5.076190476190476,2.8444444444444446,0.009523809523809525,9.88888888888889,0.8301058201058201,0.011111111111111112,13.774603174603175,11.252380952380953,5003.21746031746,306.47777777777776,5309.695238095238
risky,keyword_top_5,630,0.2714285714285714,5.16984126984127,2.6857142857142855,0.834920634920635,4.944444444444445,0.6646825396825397,0.011111111111111112,7.12063492063492,6.076190476190476,2938.64126984127,331.96031746031747,3270.601587301587
risky,state_aware,630,0.23809523809523808,5.371428571428571,3.4015873015873015,0.0,35.703835978835976,0.9952380952380953,0.004761904761904762,185.5888888888889,170.34285714285716,17717.76984126984,326.9111111111111,18044.680952380953
schema_compatible,all_tools,630,0.3380952380952381,5.1158730158730155,2.8603174603174604,0.031746031746031744,124.8015873015873,0.9968253968253968,0.0031746031746031746,35.81111111111111,32.144444444444446,65839.42539682539,303.4809523809524,66142.90634920634
schema_compatible,cmtf,630,0.8984126984126984,3.6904761904761907,0.4507936507936508,0.0,1.0,1.0,0.0,0.6952380952380952,0.0,863.3380952380952,254.2920634920635,1117.6301587301587
schema_compatible,full_causal_path,630,0.29365079365079366,5.177777777777778,3.13015873015873,0.0,11.319232804232803,0.9904761904761905,0.009523809523809525,0.6634920634920635,0.0,6597.688888888889,298.1634920634921,6895.852380952381
schema_compatible,keyword_top_10,630,0.3396825396825397,4.947619047619048,2.7253968253968255,0.0,9.920634920634921,0.8513492063492064,0.007936507936507936,10.02063492063492,8.192063492063491,5099.434920634921,290.1793650793651,5389.614285714286
schema_compatible,keyword_top_5,630,0.2841269841269841,5.1761904761904765,2.6365079365079365,0.8333333333333334,4.976190476190476,0.6554497354497355,0.004761904761904762,5.944444444444445,4.919047619047619,3026.373015873016,331.83492063492065,3358.2079365079367
schema_compatible,state_aware,630,0.2904761904761905,5.198412698412699,3.16031746031746,0.0,11.23100529100529,0.9904761904761905,0.009523809523809525,0.6349206349206349,0.0,6541.187301587302,306.1952380952381,6847.38253968254
semantic,all_tools,630,0.34444444444444444,5.042857142857143,2.7698412698412698,0.020634920634920634,125.0,1.0,0.0,35.3,32.15555555555556,57121.72857142857,331.4190476190476,57453.14761904762
