menu_size,method,n,success,steps,wrong_tool_count,premature_action_count,avg_tools_per_step,gold_exposure_rate,no_visible_rate,risky_visible_count,unauthorized_risky_visible_count,input_tokens,output_tokens,total_tokens
25,all_tools,1470,0.3551020408163265,5.076190476190476,2.742857142857143,0.031292517006802724,24.982993197278912,0.9993197278911564,0.0006802721088435374,41.99047619047619,36.84829931972789,11682.280272108843,325.98571428571427,12008.265986394557
25,cmtf,1470,0.8904761904761904,3.669387755102041,0.44421768707482995,0.0,0.9972789115646259,0.9972789115646259,0.0027210884353741495,0.6938775510204082,0.0,858.2231292517007,254.24625850340135,1112.469387755102
25,full_causal_path,1470,0.2836734693877551,5.251020408163265,3.2224489795918365,0.0,4.498458049886621,0.9965986394557823,0.003401360544217687,2.046938775510204,0.9578231292517007,2712.4040816326533,292.9149659863946,3005.3190476190475
25,keyword_top_10,1470,0.3231292517006803,5.0462585034013605,2.6714285714285713,0.27414965986394557,9.945578231292517,0.7795124716553287,0.005442176870748299,14.244897959183673,12.202721088435375,5062.308163265307,310.9721088435374,5373.280272108844
25,keyword_top_5,1470,0.26598639455782314,5.181632653061224,2.642857142857143,0.8755102040816326,4.976190476190476,0.6145124716553289,0.004761904761904762,6.831292517006803,5.8612244897959185,2972.3979591836733,354.5952380952381,3326.9931972789113
25,state_aware,1470,0.2816326530612245,5.253061224489796,3.225170068027211,0.0,4.4982993197278915,0.9959183673469387,0.004081632653061225,2.024489795918367,0.9442176870748299,2711.095238095238,301.12789115646257,3012.223129251701
100,all_tools,1470,0.2897959183673469,5.137414965986395,3.010204081632653,0.007482993197278911,99.72789115646259,0.9972789115646259,0.0027210884353741495,173.01496598639457,153.95442176870748,45989.49727891156,342.8891156462585,46332.38639455782
100,cmtf,1470,0.8925170068027211,3.665986394557823,0.43197278911564624,0.0,0.9993197278911564,0.9993197278911564,0.0006802721088435374,0.6857142857142857,0.0,857.1714285714286,249.46054421768707,1106.6319727891157
100,full_causal_path,1470,0.26666666666666666,5.272789115646258,3.269387755102041,0.0,20.976746031746032,0.9959183673469387,0.004081632653061225,31.833333333333332,21.464625850340138,10647.647619047619,316.7557823129252,10964.403401360545
100,keyword_top_10,1470,0.30680272108843537,4.9578231292517,2.572108843537415,0.4231292517006803,9.829931972789115,0.6657256235827664,0.017006802721088437,13.342176870748299,11.52312925170068,5027.649659863946,327.10408163265305,5354.753741496598
100,keyword_top_5,1470,0.2653061224489796,5.134693877551021,2.6442176870748297,0.8891156462585034,4.95578231292517,0.5751927437641723,0.008843537414965987,7.085034013605442,6.149659863945578,2953.9265306122447,367.8748299319728,3321.801360544218
100,state_aware,1470,0.2707482993197279,5.299319727891157,3.28843537414966,0.0,20.896734693877548,0.998639455782313,0.0013605442176870747,32.02176870748299,21.16938775510204,10649.287074829932,320.26190476190476,10969.548979591837
250,all_tools,1470,0.31020408163265306,5.074149659863946,2.8557823129251703,0.04013605442176871,247.9591836734694,0.9918367346938776,0.00816326530612245,428.68503401360545,382.9748299319728,113031.52925170067,322.90544217687074,113354.43469387756
250,cmtf,1470,0.8741496598639455,3.5306122448979593,0.42244897959183675,0.0,0.9707482993197278,0.9707482993197278,0.029251700680272108,0.6537414965986394,0.0,823.1925170068027,244.86122448979592,1068.0537414965986
250,full_causal_path,1470,0.24761904761904763,5.319047619047619,3.3476190476190477,0.0,52.47038548752834,0.9959183673469387,0.004081632653061225,86.84013605442176,61.85578231292517,26373.64557823129,317.1340136054422,26690.779591836734
250,keyword_top_10,1470,0.3047619047619048,5.040136054421769,2.622448979591837,0.44421768707482995,9.89795918367347,0.6749546485260771,0.01020408163265306,13.86734693877551,11.9421768707483,5106.4455782312925,343.487074829932,5449.932653061224
250,keyword_top_5,1470,0.2510204081632653,5.1578231292517005,2.6891156462585033,0.8925170068027211,4.948979591836735,0.5782879818594104,0.01020408163265306,7.136054421768708,6.195238095238095,2964.7224489795917,368.66530612244895,3333.387755102041
250,state_aware,1470,0.24625850340136055,5.331972789115646,3.3578231292517007,0.0,52.96063492063492,0.9959183673469387,0.004081632653061225,90.7591836734694,63.75034013605442,26660.217006802723,323.2530612244898,26983.47006802721
